iter	Passed	Remaining
1304	5930	16790
1305	5933	16782
1306	5936	16772
1307	5940	16767
1308	5945	16763
1309	5948	16755
1310	5951	16745
1311	5955	16739
1312	5960	16736
1313	5963	16729
1314	5966	16720
1315	5969	16711
1316	5974	16708
1317	5978	16702
1318	5981	16692
1319	5984	16684
1320	5989	16680
1321	5994	16676
1322	5997	16668
1323	6000	16659
1324	6005	16655
1325	6010	16652
1326	6013	16643
1327	6015	16634
1328	6020	16629
1329	6025	16626
1330	6028	16617
1331	6031	16608
1332	6034	16601
1333	6039	16598
1334	6045	16596
1335	6049	16591
1336	6056	16592
1337	6060	16585
1338	6063	16577
1339	6067	16573
1340	6072	16569
1341	6075	16560
1342	6078	16552
1343	6082	16546
1344	6087	16542
1345	6090	16534
1346	6093	16526
1347	6096	16517
1348	6102	16515
1349	6106	16510
1350	6109	16500
1351	6112	16491
1352	6118	16493
1353	6122	16487
1354	6126	16480
1355	6130	16473
1356	6134	16469
1357	6138	16462
1358	6142	16455
1359	6148	16457
1360	6153	16452
1361	6156	16444
1362	6163	16446
1363	6168	16443
1364	6171	16435
1365	6175	16428
1366	6179	16422
1367	6184	16420
1368	6188	16412
1369	6191	16404
1370	6194	16397
1371	6198	16389
1372	6201	16382
1373	6204	16373
1374	6207	16364
1375	6210	16357
1376	6214	16349
1377	6218	16344
1378	6220	16334
1379	6223	16326
1380	6227	16319
1381	6230	16311
1382	6233	16302
1383	6236	16292
1384	6238	16284
1385	6241	16275
1386	6245	16267
1387	6248	16259
1388	6250	16250
1389	6254	16242
1390	6256	16233
1391	6260	16226
1392	6263	16218
1393	6265	16208
1394	6269	16200
1395	6271	16191
1396	6275	16185
1397	6278	16176
1398	6280	16167
1399	6283	16158
1400	6286	16149
1401	6289	16142
1402	6293	16134
1403	6296	16125
1404	6298	16116
1405	6301	16108
1406	6304	16100
1407	6308	16092
1408	6310	16083
1409	6313	16075
1410	6316	16066
1411	6318	16056
1412	6323	16051
1413	6325	16042
1414	6328	16033
1415	6331	16024
1416	6334	16016
1417	6337	16010
1418	6340	16001
1419	6343	15993
1420	6346	15984
1421	6349	15975
1422	6351	15966
1423	6355	15960
1424	6358	15952
1425	6361	15943
1426	6364	15935
1427	6367	15927
1428	6370	15920
1429	6373	15911
1430	6376	15902
1431	6379	15894
1432	6381	15885
1433	6384	15877
1434	6388	15870
1435	6391	15861
1436	6393	15853
1437	6396	15845
1438	6399	15836
1439	6403	15829
1440	6406	15821
1441	6408	15813
1442	6411	15804
1443	6414	15796
1444	6417	15789
1445	6420	15781
1446	6423	15772
1447	6426	15764
1448	6429	15755
1449	6431	15746
1450	6435	15739
1451	6437	15730
1452	6440	15723
1453	6443	15714
1454	6446	15705
1455	6449	15698
1456	6452	15691
1457	6455	15682
1458	6458	15673
1459	6461	15666
1460	6463	15657
1461	6467	15650
1462	6470	15643
1463	6473	15634
1464	6476	15626
1465	6478	15618
1466	6482	15611
1467	6487	15608
1468	6491	15603
1469	6494	15595
1470	6497	15588
1471	6503	15586
1472	6506	15579
1473	6510	15573
1474	6515	15571
1475	6519	15565
1476	6522	15558
1477	6529	15559
1478	6534	15556
1479	6538	15550
1480	6541	15543
1481	6544	15535
1482	6548	15530
